Brunova_kariera
,Športno_upokoji
,,789,00 EUR
,Ostane_v_trenutni_ekipi
,,845,00 EUR
,Prehod_v_drugo_ekipo
,,Brez_poškodbe (50%)
,,,1300,00 EUR
,,Manjša_poskodba (30%)
,,,650,00 EUR
,,Hujša_poskodba (20%)
,,,100,00 EUR
,Caka_na_dodatne_ponudbe
,,Slaba_ponudba (40%)
,,,Manjša_poskodba (30%)
,,,,300 EUR
,,,Brez_poškodbe (50%)
,,,,600 EUR
,,,Hujša_poskodba (20%)
,,,,0 EUR
,,Solidna_ponudba (45%)
,,,Brez_poškodbe (50%)
,,,,1400,00 EUR
,,,Manjša_poskodba (30%)
,,,,700,00 EUR
,,,Hujša_poskodba (20%)
,,,,0 EUR
,,Odlicna_ponudba (15%)
,,,Brez_poškodbe (50%)
,,,,2440,00 EUR
,,,Manjša_poskodba (30%)
,,,,1220,00 EUR
,,,Hujša_poskodba (20%)
,,,,0 EUR
